seq,send_ts_ms,rtt_ms,est_oneway_ms
616,122597314.672731,10.700385,5.350192
617,122597331.538122,8.028927,4.014463
618,122597334.785274,7.18436,3.59218
619,122597522.816753,12.045636,6.022818
620,122597524.97418,9.990832,4.995416
621,122597557.317067,5.90867,2.954335
622,122597665.58692,54.544698,27.272349
623,122597673.101291,47.144576,23.572288
624,122597690.226559,62.306091,31.153045
625,122597828.548904,14.466557,7.233278
626,122597839.261154,22.179142,11.089571
627,122597895.471453,43.272049,21.636024
628,122598001.57197,5.600821,2.80041
629,122598006.910723,7.770051,3.885025
630,122598027.309621,7.736845,3.868422
631,122598192.886204,8.488263,4.244131
632,122598214.205133,10.692438,5.346219
633,122598334.793587,6.621212,3.310606
634,122598509.306377,9.497191,4.748595
635,122598522.524564,7.748271,3.874135
636,122598847.776283,6.578353,3.289176
637,122598852.490238,6.190369,3.095184
638,122599024.3494,7.684557,3.842278
639,122599031.58845,6.921453,3.460726
640,122599066.575359,6.581249,3.290624
641,122599591.929223,12.025749,6.012874
642,122599593.022448,12.096227,6.048113
643,122599594.110041,12.107968,6.053984
644,122599815.489729,8.926494,4.463247
645,122599817.68081,7.90402,3.95201
646,122599847.788499,5.872816,2.936408
647,122600014.311383,9.769068,4.884534
648,122600020.767788,6.737279,3.368639
649,122600053.038449,6.566467,3.283233
650,122600179.713434,9.015576,4.507788
651,122600183.25413,8.899375,4.449687
652,122600186.678529,7.76872,3.88436
653,122600904.028841,9.776929,4.888464
654,122600953.025029,5.596343,2.798171
655,122600982.072423,5.556352,2.778176
656,122601620.48241,10.876874,5.438437
657,122601624.060268,7.382868,3.691434
658,122601625.26525,8.358754,4.179377
659,122602335.487184,90.135517,45.067758
660,122602371.05658,58.297803,29.148901
661,122602373.27473,56.274762,28.137381
662,122602752.180462,54.584506,27.292253
663,122602753.362576,53.555284,26.777642
664,122602758.027847,48.944747,24.472373
665,122603371.371408,8.26959,4.134795
666,122603404.086715,6.194114,3.097057
667,122603459.218249,9.534977,4.767488
668,122603899.988633,6.202876,3.101438
669,122603902.379114,6.213965,3.106982
670,122603905.784629,5.270864,2.635432
671,122604658.987558,20.243769,10.121884
672,122604691.153832,9.179164,4.589582
673,122604738.659841,7.19271,3.596355
674,122604739.743821,7.498149,3.749074
675,122604800.542021,8.585215,4.292607
676,122604809.281054,7.463672,3.731836
